OTU_ID	inoculum1.control.before	inoculum1.control.after	inoculum1.treatment.before	inoculum1.treatment.after	inoculum2.control.before	inoculum2.control.after	inoculum2.treatment.before	inoculum2.treatment.after
otu556	0	0	0	0	0	5	0	0
otu557	0	0	0	0	0	0	2	3
otu558	0	0	0	0	0	10	0	5
otu559	0	0	0	0	2	0	2	4
otu560	0	0	0	1	0	1	0	0
otu561	0	2	0	7	0	0	0	0
otu562	0	0	0	9	0	0	0	0
otu563	0	0	0	0	1	0	2	1
otu564	2	0	0	0	0	0	0	0
otu565	0	0	0	0	0	0	2	0
otu566	0	0	0	0	3	0	0	1
otu567	0	0	0	0	2	5	2	20
otu568	0	0	0	0	7	13	4	8
otu569	0	0	0	4	0	0	0	0
otu570	1	1	0	1	0	0	0	0
otu571	1	0	1	0	0	0	0	0
otu572	1	0	2	3	0	0	0	0
otu573	0	0	0	0	1	0	1	4
otu574	0	0	0	0	0	1	4	7
otu575	0	0	1	1	0	0	1	0
otu576	0	0	0	2	0	4	1	0
otu577	0	0	0	0	0	4	6	6
otu578	0	0	0	0	1	1	7	1
otu579	0	0	0	0	4	0	0	0
otu580	0	0	0	40	0	0	0	0
otu581	0	0	0	0	1	1	2	5
otu582	0	0	0	2	0	0	0	0
otu583	0	0	0	0	0	17	0	27
otu584	0	0	0	0	3	16	6	8
otu585	1	0	0	2	1	0	0	2
otu586	0	0	0	0	1	8	14	13
otu587	0	0	1	2	0	0	2	2
otu588	0	0	0	0	1	0	1	0
otu589	0	0	0	0	0	41	0	3
otu590	0	0	0	0	8	16	3	5
otu591	1	1	0	5	0	0	2	2
otu592	7	0	0	2	0	0	0	0
otu593	0	0	0	0	2	0	3	1
otu594	0	0	0	0	0	36	1	3
otu595	0	0	0	0	1	1	5	3
otu596	0	0	0	0	2	2	4	1
otu597	0	0	0	0	4	1	5	3
otu598	0	0	0	0	0	0	5	1
otu599	0	0	0	0	0	0	1	1
otu600	0	0	0	0	1	0	2	2
otu601	0	0	0	0	0	1	1	1
otu602	0	0	0	4	0	0	0	0
otu603	0	0	0	0	3	1	3	7
otu604	0	0	0	2	0	0	0	0
otu605	2	0	1	3	0	0	0	0
otu606	0	0	0	0	0	0	3	0
otu607	0	0	0	0	5	1	1	0
otu608	4	0	0	1	0	0	0	0
otu609	0	0	0	2	0	0	0	0
otu610	0	0	0	0	0	3	3	2
otu611	0	0	0	2	0	0	1	0
otu612	0	0	0	0	1	0	2	0
otu613	0	0	0	0	0	0	1	2
otu614	2	1	1	1	0	0	0	0
otu615	0	0	0	3	0	2	0	0
otu616	0	0	0	0	3	16	3	6
otu617	1	0	0	1	0	2	0	2
otu618	0	0	0	1	0	1	0	2
otu619	0	17	0	0	0	0	0	0
otu620	0	0	0	0	0	0	6	1
otu621	0	0	0	0	0	0	3	0
otu622	1	0	0	0	0	0	1	2
otu623	0	0	0	0	0	1	3	3
otu624	6	0	2	6	0	0	0	0
otu625	0	0	0	0	1	2	3	1
otu626	0	0	0	4	0	0	0	0
otu627	0	1	0	1	0	4	0	2
otu628	0	0	0	0	0	1	2	1
otu629	0	0	0	0	0	1	0	2
otu630	0	0	0	0	2	1	0	0
otu631	0	0	0	31	0	0	0	0
otu632	0	0	0	0	0	1	1	0
otu633	0	0	0	3	0	1	0	0
otu634	0	1	0	3	0	0	0	0
otu635	0	1	0	3	0	0	0	0
otu636	0	0	0	0	3	1	3	0
otu637	0	0	0	0	0	0	6	3
otu638	1	5	0	0	0	0	0	1
otu639	1	0	0	1	0	0	0	0
otu640	0	0	0	0	0	1	6	0
otu641	0	12	0	0	0	0	0	0
otu642	0	0	0	0	1	0	2	2
otu643	0	0	0	0	0	0	1	1
otu644	0	0	0	2	1	0	2	0
otu645	1	0	0	1	0	0	0	0
otu646	0	0	0	0	0	2	1	0
otu647	0	0	0	3	0	0	0	0
otu648	0	0	0	0	0	39	0	0
otu649	0	0	0	0	0	0	2	3
otu650	0	0	0	0	4	10	1	7
otu651	0	0	0	0	0	1	3	1
otu652	1	0	0	1	0	0	0	0
otu653	0	0	0	0	0	0	4	2
otu654	0	0	0	0	3	1	4	3
otu655	2	0	0	0	1	1	0	0
otu656	0	0	0	0	7	9	3	7
otu657	0	0	0	0	3	0	5	3
otu658	0	0	0	0	0	2	2	2
otu659	0	0	0	0	2	0	2	1
